Lattitude,Longitude,Distance,speed,heartRate
-37.849785,145.113113,0.379741,0.379741,69
-37.849777,145.113098,2.516175,2.52628,72
-37.84977,145.113098,0.759482,0.755704,72
-37.849762,145.113098,0.759482,0.758724,68
-37.849754,145.113083,1.65421,1.65421,71
-37.849743,145.113083,1.139224,1.140364,69
-37.849739,145.113083,0.379741,0.379741,71
-37.849731,145.113083,0.759482,0.761768,73
-37.849728,145.113083,0.379741,0.379741,68
-37.849716,145.113083,1.518965,1.523535,69
-37.849705,145.113083,1.139224,1.134685,70
-37.849697,145.113098,1.419647,1.421068,72
-37.849686,145.113098,1.518965,1.523535,69
-37.849678,145.113098,0.759482,0.758724,68
0,0,0,0,73
-37.849617,145.113159,0.379741,0.444142,71
-37.849606,145.113174,1.654212,1.652559,70
-37.849598,145.11319,1.419648,1.413992,73
-37.849594,145.11319,0.379741,0.378983,68
-37.849594,145.113205,1.199411,1.204228,68
-37.849594,145.11322,1.199411,1.201815,72
-37.849594,145.11322,1.199411,1.201815,68
-37.849594,145.113235,1.199411,0.600607,70
-37.849598,145.113235,0.379741,0.379362,69
-37.849602,145.113251,2.428694,2.431125,71
-37.849606,145.113266,1.25809,1.255579,73
-37.849606,145.113281,1.199411,1.20302,71
-37.849609,145.113297,1.25809,1.255579,73
-37.849606,145.113297,0.379741,0.379741,68
-37.849606,145.113312,1.199411,1.199411,73
-37.849609,145.113327,1.25809,1.25809,68
-37.849609,145.113342,1.199411,1.201815,68
-37.849609,145.113342,1.199411,1.201815,73
-37.849613,145.113358,1.25809,0.62936,70
-37.849617,145.113373,2.428693,2.426267,69
-37.849617,145.113388,1.199411,1.199411,73
-37.849621,145.113403,1.25809,1.259349,70
-37.849625,145.113419,1.25809,1.260611,70
-37.849625,145.113419,1.25809,1.260611,72
-37.849628,145.113434,1.419648,0.708761,69
-37.849628,145.113449,1.199411,1.200611,71
-37.849632,145.113464,1.25809,1.255579,68
-37.849644,145.113571,1.199411,1.359876,68
-37.849648,145.113571,0.379741,0.380121,69
-37.849651,145.113586,1.258089,1.258089,71
-37.849651,145.113602,1.19941,1.204227,73
-37.849651,145.113617,1.19941,1.198212,72
-37.849651,145.113632,2.398821,2.396424,68
-37.849655,145.113647,1.258089,1.256832,71
-37.849655,145.113663,1.19941,1.204227,70
-37.849659,145.113678,1.419647,1.412584,70
-37.849663,145.113693,1.258089,1.259349,70
-37.849663,145.113708,1.19941,1.19941,72
-37.849663,145.113724,1.19941,1.19941,70
-37.849663,145.113739,1.19941,1.205438,71
-37.849667,145.113754,1.258089,1.258089,71
-37.849667,145.11377,2.39882,2.386886,68
-37.84967,145.113785,1.258089,1.26061,68
-37.84967,145.1138,1.19941,1.200611,72
-37.849674,145.113815,1.258089,1.256832,71
-37.849678,145.113815,0.379741,0.380121,71
-37.849674,145.113831,1.258089,1.258089,69
-37.849674,145.113846,1.19941,1.200611,69
-37.849674,145.113861,1.19941,1.198212,71
-37.849678,145.113876,1.258089,1.229803,70
-37.849682,145.113892,1.258089,1.293,68
-37.849682,145.113907,2.39882,2.391645,68
-37.849682,145.113922,1.19941,1.205437,69
-37.849686,145.113937,1.258089,1.255578,71
-37.849686,145.113953,1.19941,1.198212,68
-37.849686,145.113968,1.19941,1.197016,71
-37.849689,145.113983,1.258089,1.258089,70
-37.849689,145.113998,1.19941,1.198212,71
-37.849693,145.114014,1.419647,1.423919,72
