Lattitude,Longitude,Distance,speed,heartRate
-37.851124,145.113159,1.199386,0.299922,71
-37.851128,145.113159,0.759482,0.379741,69
-37.85112,145.113159,1.139224,1.139224,71
-37.85112,145.113159,1.139224,1.139224,73
-37.851116,145.113174,1.258067,0.628719,71
-37.851112,145.113174,0.379741,0.377852,68
-37.851101,145.11319,1.654194,1.654194,70
-37.851089,145.113205,1.935403,1.945128,73
-37.851082,145.11322,1.419628,1.419628,72
-37.851078,145.113251,3.618145,3.610923,70
-37.849964,145.113525,1.199405,1.198207,71
-37.849941,145.113449,6.55975,11.755823,71
-37.849934,145.113434,1.419644,1.425345,73
-37.849926,145.113434,0.759482,0.757966,69
-37.849918,145.113419,1.654208,1.655864,68
-37.849911,145.113403,1.419644,1.419644,73
-37.849907,145.113388,1.258085,1.258085,70
-37.849903,145.113373,1.258085,1.260607,73
-37.849899,145.113373,0.379741,0.379362,70
-37.849895,145.113358,2.428684,2.440888,70
-37.849888,145.113342,1.419644,1.412581,70
-37.849884,145.113327,1.419644,1.423916,69
-37.849876,145.113312,1.419644,1.429652,71
-37.849869,145.113297,1.419644,1.408377,68
-37.849861,145.113297,0.759482,0.758724,68
-37.849861,145.113297,0.759482,0.758724,72
