Lattitude,Longitude,Distance,speed,heartRate
-37.849701,145.114044,1.258089,1.26061,72
-37.849705,145.114059,1.258089,1.26061,73
-37.849705,145.114075,1.199409,1.205437,70
-37.849709,145.11409,1.258088,1.251829,72
-37.849709,145.11409,1.258088,1.251829,70
-37.849728,145.114227,11.03252,18.056498,72
-37.849728,145.114243,1.199409,1.199409,73
-37.849731,145.114258,1.258088,1.263141,72
-37.849731,145.114258,1.258088,1.263141,73
-37.849728,145.114273,1.258088,0.629044,73
-37.849716,145.114288,2.839293,2.836456,71
-37.849709,145.114288,0.759482,0.758724,71
-37.849709,145.114304,1.199409,1.201813,73
-37.849705,145.114319,1.258088,1.263141,71
-37.849705,145.114334,1.199409,1.195822,69
-37.849709,145.114349,1.258088,1.256831,73
-37.849705,145.114365,1.258088,1.26061,70
-37.849709,145.11438,1.258088,1.256831,68
-37.849709,145.114395,1.199409,1.198211,71
-37.849712,145.11441,1.258088,1.256831,70
-37.849716,145.114426,2.42869,2.438444,70
-37.84972,145.114426,0.379741,0.378605,71
-37.84972,145.114441,1.199409,1.199409,71
-37.849724,145.114456,1.419647,1.413991,69
-37.849724,145.114471,1.199409,1.206649,70
-37.84972,145.114487,1.419647,1.418228,73
-37.849724,145.114502,1.419647,1.423918,70
-37.849728,145.114517,1.258088,1.255577,72
-37.849728,145.114532,1.199409,1.199409,73
-37.849728,145.114548,2.398818,2.403626,73
-37.849731,145.114563,1.258088,1.255577,68
-37.849735,145.114578,1.258088,1.258088,69
-37.849739,145.114594,1.258088,1.258088,72
-37.849739,145.114609,1.199409,1.188711,68
-37.849743,145.114609,0.379741,0.380884,69
-37.849751,145.114624,1.419646,1.421067,69
-37.849766,145.114624,1.898706,1.912091,72
-37.849781,145.114624,1.518965,1.512913,73
-37.849792,145.114624,1.518965,1.517447,73
-37.8498,145.114624,0.759482,0.759482,71
-37.849815,145.114609,1.935415,1.941239,72
-37.849827,145.114609,1.518965,1.515933,70
-37.849842,145.114609,1.518965,1.523535,70
-37.849854,145.114609,1.139224,1.109273,72
-37.849865,145.114609,1.518965,1.556316,71
-37.849869,145.114624,1.258086,1.261871,70
-37.849873,145.114609,1.258086,1.259345,70
-37.84988,145.114624,1.419644,1.418226,72
-37.84988,145.114624,1.419644,1.418226,71
-37.849884,145.114624,0.379741,0.190156,71
-37.849892,145.114609,1.654209,1.650907,70
-37.849899,145.114609,0.759482,0.758724,69
-37.849903,145.114609,0.379741,0.381266,72
-37.849907,145.114609,0.379741,0.382033,71
-37.849903,145.114609,0.379741,0.379362,71
0,0,0,0,73
-37.849964,145.114609,3.03793,18.411694,71
-37.849976,145.114609,1.139224,1.287258,70
-37.849987,145.114609,1.518965,1.522009,73
-37.850002,145.114609,1.518965,1.517447,68
-37.85001,145.114609,0.759482,0.761768,68
-37.850029,145.114594,2.574858,2.572285,72
-37.85004,145.114594,1.139224,1.140364,68
-37.850052,145.114594,1.518965,1.518965,70
-37.85006,145.114578,1.419642,1.428211,69
-37.850067,145.114578,0.759482,0.757211,71
-37.850086,145.114563,1.139224,1.141507,73
-37.850098,145.114548,1.654206,1.657521,71
-37.850105,145.114548,0.759482,0.760243,73
-37.850113,145.114532,2.516164,2.518683,68
-37.850117,145.114517,1.419641,1.423913,73
-37.850117,145.114502,1.199403,1.201806,68
-37.850117,145.114487,1.199403,1.197009,68
